label,text,clean_text,clean_text_tok
0.0,i get the feeling that he is brewing up some kind of moronic shit storm,get feel brew kind moronic shit storm,"['get', 'feel', 'brew', 'kind', 'moronic', 'shit', 'storm']"
0.0,i still have a lot to paint on the warhound but enough of the model is now put together that i would not feel embarrassed fieldi,still lot paint warhound enough model put together would feel embarrassed fieldi,"['still', 'lot', 'paint', 'warhound', 'enough', 'model', 'put', 'together', 'would', 'feel', 'embarrassed', 'fieldi']"
0.0,im just figuring these lyrics out myself so apologies if im slightly wrong but it just feels a bit fake,im figure lyric apology im slightly wrong feel bite fake,"['im', 'figure', 'lyric', 'apology', 'im', 'slightly', 'wrong', 'feel', 'bite', 'fake']"
0.0,i do not feel dumb any more,feel dumb,"['feel', 'dumb']"
0.0,i feel awful for so but he has to know im not lying about what the kid does sometimes if hell stoop to pending on himself,feel awful know im lie kid sometimes hell stoop pending,"['feel', 'awful', 'know', 'im', 'lie', 'kid', 'sometimes', 'hell', 'stoop', 'pending']"
0.0,Kind of bummed. I was supposed to meet my best friend tonight_comma_ but he got stuck at work.,kind bum supposed meet best friend tonight get stuck work,"['kind', 'bum', 'supposed', 'meet', 'best', 'friend', 'tonight', 'get', 'stuck', 'work']"
0.0,i feel im simply doomed to repeat the cycle of obesity over and over again,feel im simply doom repeat cycle obesity,"['feel', 'im', 'simply', 'doom', 'repeat', 'cycle', 'obesity']"
0.0,im going to help you in this so if you feel that regretful then buy me an ice cream the next time we see each other,im go help feel regretful buy ice cream next time see,"['im', 'go', 'help', 'feel', 'regretful', 'buy', 'ice', 'cream', 'next', 'time', 'see']"
0.0,i took the second test for my cognitive psychology test and i feel mentally exhausted,take second test cognitive psychology test feel mentally exhaust,"['take', 'second', 'test', 'cognitive', 'psychology', 'test', 'feel', 'mentally', 'exhaust']"
0.0,I am having a hard time with someone who keeps repeating the same mistakes. It's hard to see they keep going back to the same path.,hard time someone keep repeat mistake hard see keep go back path,"['hard', 'time', 'someone', 'keep', 'repeat', 'mistake', 'hard', 'see', 'keep', 'go', 'back', 'path']"
0.0,im with her because she brings out the best in me when im feeling depressed,im bring best im feeling depress,"['im', 'bring', 'best', 'im', 'feeling', 'depress']"
0.0,i feel helpless and lacking right at this moment all i want to do is go to edmonton and then wainwright and look after david,feel helpless lack right moment want go edmonton wainwright look david,"['feel', 'helpless', 'lack', 'right', 'moment', 'want', 'go', 'edmonton', 'wainwright', 'look', 'david']"
0.0,im feeling stressed or out of control i regain control by breaking down my particular stressors into minutes segments to devote attention to and then go to it,im feel stress control regain control break particular stressor minute segment devote attention go,"['im', 'feel', 'stress', 'control', 'regain', 'control', 'break', 'particular', 'stressor', 'minute', 'segment', 'devote', 'attention', 'go']"
0.0,My dog died last week. It was one of the worst days of my life.,dog die last week one worst day life,"['dog', 'die', 'last', 'week', 'one', 'worst', 'day', 'life']"
0.0,i still feel horrible,still feel horrible,"['still', 'feel', 'horrible']"
0.0,i feel like a dirty heal and unconformable,feel like dirty heal unconformable,"['feel', 'like', 'dirty', 'heal', 'unconformable']"
0.0,i feel that the perpetrator should be punished to the full extent of the law,feel perpetrator punish full extent law,"['feel', 'perpetrator', 'punish', 'full', 'extent', 'law']"
0.0,im feeling as though this is all pretty boring,im feel though pretty boring,"['im', 'feel', 'though', 'pretty', 'boring']"
0.0,i say that feelings dont dull selectively,say feeling dont dull selectively,"['say', 'feeling', 'dont', 'dull', 'selectively']"
0.0,i feel like a blank canvas i have no clue what i am doing right now,feel like blank canvas clue right,"['feel', 'like', 'blank', 'canvas', 'clue', 'right']"
0.0,i began to feel a bit regretful,begin feel bit regretful,"['begin', 'feel', 'bit', 'regretful']"
0.0,i was feeling quite groggy in the days before the race the glands in my neck were sore and swollen and i could tell my body was fighting a bug of some kind,feel quite groggy day race glands neck sore swollen could tell body fight bug kind,"['feel', 'quite', 'groggy', 'day', 'race', 'glands', 'neck', 'sore', 'swollen', 'could', 'tell', 'body', 'fight', 'bug', 'kind']"
0.0,i just feel like im being punished for it now even after i said sorry,feel like im punish even say sorry,"['feel', 'like', 'im', 'punish', 'even', 'say', 'sorry']"
0.0,i start to feel ugly unloved poor and unhappy,start feel ugly unloved poor unhappy,"['start', 'feel', 'ugly', 'unloved', 'poor', 'unhappy']"
0.0,i feel we need to bear in mind though is that there are low cost resort rooms in europe and england if we look,feel need bear mind though low cost resort room europe england look,"['feel', 'need', 'bear', 'mind', 'though', 'low', 'cost', 'resort', 'room', 'europe', 'england', 'look']"
0.0,i guess she has opened up and known him longer but i cant help feeling a little ignored,guess open know longer cant help feeling little ignored,"['guess', 'open', 'know', 'longer', 'cant', 'help', 'feeling', 'little', 'ignored']"
0.0,i think came from the weird catholic way we d been raised to feel ashamed about sex,think come weird catholic way raise feel ashamed sex,"['think', 'come', 'weird', 'catholic', 'way', 'raise', 'feel', 'ashamed', 'sex']"
0.0,i was left feeling embarrassed stupid but i was on a mission to fuel up with coffee is this an excuse,leave feeling embarrassed stupid mission fuel coffee excuse,"['leave', 'feeling', 'embarrassed', 'stupid', 'mission', 'fuel', 'coffee', 'excuse']"
0.0,im ever feeling stressed i whack heart on black on and it kicks me back into shape,im ever feel stress whack heart black kick back shape,"['im', 'ever', 'feel', 'stress', 'whack', 'heart', 'black', 'kick', 'back', 'shape']"
0.0,i feel so sorry for the people affected,feel sorry people affect,"['feel', 'sorry', 'people', 'affect']"
0.0,i just feel so awkward and i know i am awkward with them,feel awkward know awkward,"['feel', 'awkward', 'know', 'awkward']"
0.0,i cant even tell you how refreshed i feel exhausted,cant even tell refresh feel exhaust,"['cant', 'even', 'tell', 'refresh', 'feel', 'exhaust']"
0.0,im feeling a little melancholy tonight days ago,im feel little melancholy tonight day ago,"['im', 'feel', 'little', 'melancholy', 'tonight', 'day', 'ago']"
0.0,No...,,[]
0.0,i feel useless standing on the sidelines like a wet lettuce while someone does something i am quite capable of,feel useless stand sideline like wet lettuce someone something quite capable,"['feel', 'useless', 'stand', 'sideline', 'like', 'wet', 'lettuce', 'someone', 'something', 'quite', 'capable']"
0.0,i feel like i am noticeably very inhibited in a lot of other things,feel like noticeably inhibit lot thing,"['feel', 'like', 'noticeably', 'inhibit', 'lot', 'thing']"
0.0,i say no i feel guilty img src http var,say feel guilty img src http var,"['say', 'feel', 'guilty', 'img', 'src', 'http', 'var']"
0.0,i apologize to all the ppl i dragged along with me to see it i feel shamed img src rte emoticons smile embaressed,apologize ppl drag along see feel sham img src rte emoticon smile embaressed,"['apologize', 'ppl', 'drag', 'along', 'see', 'feel', 'sham', 'img', 'src', 'rte', 'emoticon', 'smile', 'embaressed']"
0.0,"I mean pretty soon theyre gonna be having kids, and then theyre just gonna be hanging out with other couples who have kids.",mean pretty soon theyre gon na kid theyre gon na hang couple kid,"['mean', 'pretty', 'soon', 'theyre', 'gon', 'na', 'kid', 'theyre', 'gon', 'na', 'hang', 'couple', 'kid']"
0.0,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,feel inhibit someone el kitchen like im paint someone elses picture,"['feel', 'inhibit', 'someone', 'el', 'kitchen', 'like', 'im', 'paint', 'someone', 'elses', 'picture']"
0.0,i am feeling oh so low,feel oh low,"['feel', 'oh', 'low']"
0.0,My friend had to cancel plans the other day,friend cancel plan day,"['friend', 'cancel', 'plan', 'day']"
0.0,i quickly trotted off he added i feel embarrassed to ask hoping i would enter into some kind of conversation with him,quickly trot add feel embarrassed ask hop would enter kind conversation,"['quickly', 'trot', 'add', 'feel', 'embarrassed', 'ask', 'hop', 'would', 'enter', 'kind', 'conversation']"
0.0,i dont have enought time and i get tired of being made to feel unimportant,dont enought time get tire make feel unimportant,"['dont', 'enought', 'time', 'get', 'tire', 'make', 'feel', 'unimportant']"
0.0,i have to emphasize the feeling of lost and found,emphasize feeling lose find,"['emphasize', 'feeling', 'lose', 'find']"
0.0,when i see young people asking for help on fb or donations instead of working ,see young people ask help fb donation instead work,"['see', 'young', 'people', 'ask', 'help', 'fb', 'donation', 'instead', 'work']"
0.0,My cat died the other day. She was 24 years old.,cat die day year old,"['cat', 'die', 'day', 'year', 'old']"
0.0,i think about how great everyone elses life is i feel that much more crappy about mine,think great everyone elses life feel much crappy mine,"['think', 'great', 'everyone', 'elses', 'life', 'feel', 'much', 'crappy', 'mine']"
0.0,i need the cantor ministry after you made me feel that they all hated me and supported your views of me,need cantor ministry make feel hat support view,"['need', 'cantor', 'ministry', 'make', 'feel', 'hat', 'support', 'view']"
0.0,i strongly dislike feeling stupid which is a feeling that comes up for me at least once per day and often more frequently than that,strongly dislike feel stupid feeling come least per day often frequently,"['strongly', 'dislike', 'feel', 'stupid', 'feeling', 'come', 'least', 'per', 'day', 'often', 'frequently']"
0.0,i do have a chinese mum a few chinese sisters spent two very important years of my life in china so when someone who knows all this has a conversation like the one below with me i feel pretty hopeless about the power of education,chinese mum chinese sister spend two important year life china someone know conversation like one feel pretty hopeless power education,"['chinese', 'mum', 'chinese', 'sister', 'spend', 'two', 'important', 'year', 'life', 'china', 'someone', 'know', 'conversation', 'like', 'one', 'feel', 'pretty', 'hopeless', 'power', 'education']"
0.0,i could feel myself moving slower and being generally more lethargic than our last ride on the same trail,could feel move slow generally lethargic last ride trail,"['could', 'feel', 'move', 'slow', 'generally', 'lethargic', 'last', 'ride', 'trail']"
0.0,i feel really heartbroken,feel really heartbroken,"['feel', 'really', 'heartbroken']"
0.0,i feel could have been left out entirely they smack a bit of empty promotion and self congratulation but once one finds the real meat of the information its precious information indeed,feel could leave entirely smack bit empty promotion self congratulation one find real meat information precious information indeed,"['feel', 'could', 'leave', 'entirely', 'smack', 'bit', 'empty', 'promotion', 'self', 'congratulation', 'one', 'find', 'real', 'meat', 'information', 'precious', 'information', 'indeed']"
0.0,i was able to work in the studio all week though im feeling a bit gloomy about how slowly things seem to be progressing,able work studio week though im feel bit gloomy slowly thing seem progress,"['able', 'work', 'studio', 'week', 'though', 'im', 'feel', 'bit', 'gloomy', 'slowly', 'thing', 'seem', 'progress']"
0.0,I cry every time I think of my grandmother.,cry every time think grandmother,"['cry', 'every', 'time', 'think', 'grandmother']"
0.0,My dog had to be put down the other day. I'm heart broken.,dog put day heart broken,"['dog', 'put', 'day', 'heart', 'broken']"
0.0,I cried when the Jonas brothers broke up.,cry jonas brother break,"['cry', 'jonas', 'brother', 'break']"
0.0,i could listen to those words and suddenly not feel so incredibly helpless,could listen word suddenly feel incredibly helpless,"['could', 'listen', 'word', 'suddenly', 'feel', 'incredibly', 'helpless']"
0.0,I got really upset when I had to move away from my childhood home.  all my memories were there.,get really upset move away childhood home memory,"['get', 'really', 'upset', 'move', 'away', 'childhood', 'home', 'memory']"
0.0,ive been feeling a bit discontent with my music for a while now,ive feeling bit discontent music,"['ive', 'feeling', 'bit', 'discontent', 'music']"
0.0,i feel is defective,feel defective,"['feel', 'defective']"
0.0,i am a celebrity or politician i can hire a bodyguard who carries a gun and i don t have to apologize explain or feel embarrassed about this choice,celebrity politician hire bodyguard carry gun apologize explain feel embarrass choice,"['celebrity', 'politician', 'hire', 'bodyguard', 'carry', 'gun', 'apologize', 'explain', 'feel', 'embarrass', 'choice']"
0.0,i see this ad i cringe and feel disturbed,see ad cringe feel disturb,"['see', 'ad', 'cringe', 'feel', 'disturb']"
0.0,i hated that when i got drunk the whole next day was spent sleeping and feeling groggy,hat get drunk whole next day spend sleep feeling groggy,"['hat', 'get', 'drunk', 'whole', 'next', 'day', 'spend', 'sleep', 'feeling', 'groggy']"
0.0,i feel so gloomy this independence day,feel gloomy independence day,"['feel', 'gloomy', 'independence', 'day']"
0.0,I was so devastated when my pet parakeet died. Polly was such a good bird to me. I will miss her so much.,devastate pet parakeet die polly good bird miss much,"['devastate', 'pet', 'parakeet', 'die', 'polly', 'good', 'bird', 'miss', 'much']"
0.0,i feel slightly embarrassed that i keep telling myself and trying to make myself believe that life is actually to enjoy just to be let down harder and harder each time,feel slightly embarrassed keep tell try make believe life actually enjoy let harder hard time,"['feel', 'slightly', 'embarrassed', 'keep', 'tell', 'try', 'make', 'believe', 'life', 'actually', 'enjoy', 'let', 'harder', 'hard', 'time']"
0.0,My dog died right after my cat died. ;(,dog die right cat die,"['dog', 'die', 'right', 'cat', 'die']"
0.0,i am starting the menopause constantly suffer with mood swings temper floods of tears unable to sit for long periods and concentrate feel constantly weepy and on edge feel unable to cope with the day to tasks of ordinary life,start menopause constantly suffer mood swing temper flood tear unable sit long period concentrate feel constantly weepy edge feel unable cope day task ordinary life,"['start', 'menopause', 'constantly', 'suffer', 'mood', 'swing', 'temper', 'flood', 'tear', 'unable', 'sit', 'long', 'period', 'concentrate', 'feel', 'constantly', 'weepy', 'edge', 'feel', 'unable', 'cope', 'day', 'task', 'ordinary', 'life']"
0.0,i feel is that i cant get far enough away from what feeds melancholy for long enough that it would just wither and die off,feel cant get far enough away feed melancholy long enough would wither die,"['feel', 'cant', 'get', 'far', 'enough', 'away', 'feed', 'melancholy', 'long', 'enough', 'would', 'wither', 'die']"
0.0,i feel like a crappy mummy if were stuck in but there are days where i really cant face much else then venturing out to the garden at pm,feel like crappy mummy stuck day really cant face much else venture garden pm,"['feel', 'like', 'crappy', 'mummy', 'stuck', 'day', 'really', 'cant', 'face', 'much', 'else', 'venture', 'garden', 'pm']"
0.0,i feel sorry for the times that i misjudged it as well as it had to me,feel sorry time misjudge well,"['feel', 'sorry', 'time', 'misjudge', 'well']"
0.0,i feel so badly for his daughter thats tragic,feel badly daughter thats tragic,"['feel', 'badly', 'daughter', 'thats', 'tragic']"
0.0,My dad left for deployment to Afghanistan yesterday. I am so depressed.,dad leave deployment afghanistan yesterday depress,"['dad', 'leave', 'deployment', 'afghanistan', 'yesterday', 'depress']"
0.0,ive been waiting to get some time alone for quite a few weeks now and when i finally get it im feeling a bit homesick,ive wait get time alone quite week finally get im feel bit homesick,"['ive', 'wait', 'get', 'time', 'alone', 'quite', 'week', 'finally', 'get', 'im', 'feel', 'bit', 'homesick']"
0.0,i realise im sounding surprisingly like every other person on this site i wish i liked mud wrestling or something a bit more outrageous i feel rather dull and dare i say average,realise im sound surprisingly like every person site wish like mud wrestle something bit outrageous feel rather dull dare say average,"['realise', 'im', 'sound', 'surprisingly', 'like', 'every', 'person', 'site', 'wish', 'like', 'mud', 'wrestle', 'something', 'bit', 'outrageous', 'feel', 'rather', 'dull', 'dare', 'say', 'average']"
0.0,i wasnt alone or crazy for feeling so disheartened,wasnt alone crazy feeling dishearten,"['wasnt', 'alone', 'crazy', 'feeling', 'dishearten']"
0.0,i often feel this is a very unfortunate flaw that i possess,often feel unfortunate flaw posse,"['often', 'feel', 'unfortunate', 'flaw', 'posse']"
0.0,My favorite cake stand was stolen.,favorite cake stand steal,"['favorite', 'cake', 'stand', 'steal']"
0.0,i actually feel really horribly vain posting this but im kinda curious,actually feel really horribly vain post im kinda curious,"['actually', 'feel', 'really', 'horribly', 'vain', 'post', 'im', 'kinda', 'curious']"
0.0,i am satisfied with the final installment and feeling a bit melancholy,satisfied final installment feel bit melancholy,"['satisfied', 'final', 'installment', 'feel', 'bit', 'melancholy']"
0.0,i feel so rotten that i need to tell myself all this is just a passing cloud that ill be laughing at years from now,feel rotten need tell pass cloud ill laugh year,"['feel', 'rotten', 'need', 'tell', 'pass', 'cloud', 'ill', 'laugh', 'year']"
0.0,i feel useless because i dont bring in any income,feel useless dont bring income,"['feel', 'useless', 'dont', 'bring', 'income']"
0.0,My friend's girlfriend cheated on him. I've never seen him so destroyed.,friend girlfriend cheat never see destroy,"['friend', 'girlfriend', 'cheat', 'never', 'see', 'destroy']"
0.0,i seem to have managed to start the week with a little bit of a hangover annoyingly so i have been sitting here feeling groggy all day,seem manage start week little bit hangover annoyingly sit feel groggy day,"['seem', 'manage', 'start', 'week', 'little', 'bit', 'hangover', 'annoyingly', 'sit', 'feel', 'groggy', 'day']"
0.0,i still feel ashamed that i live in a world of people who dont know how,still feel ashamed live world people dont know,"['still', 'feel', 'ashamed', 'live', 'world', 'people', 'dont', 'know']"
0.0,i wasnt feeling so ashamed that i spent a whole lotta time and precious energy doing this mind you,wasnt feeling ashamed spent whole lotta time precious energy mind,"['wasnt', 'feeling', 'ashamed', 'spent', 'whole', 'lotta', 'time', 'precious', 'energy', 'mind']"
0.0,i cant help but feel how much burdened my parents are,cant help feel much burden parent,"['cant', 'help', 'feel', 'much', 'burden', 'parent']"
0.0,i just feel he was another dumb character that deserved to get killed,feel another dumb character deserve get kill,"['feel', 'another', 'dumb', 'character', 'deserve', 'get', 'kill']"
0.0,My birth flew away,birth fly away,"['birth', 'fly', 'away']"
0.0,i came down into the kitchen of my childhood still in a dream i was like a mini baby on the kitchen table and i told my mother that she should expect to get this kind of a damaged child because she was so narrow and unwilling to feelings and emotional support,come kitchen childhood still dream like mini baby kitchen table tell mother expect get kind damage child narrow unwilling feeling emotional support,"['come', 'kitchen', 'childhood', 'still', 'dream', 'like', 'mini', 'baby', 'kitchen', 'table', 'tell', 'mother', 'expect', 'get', 'kind', 'damage', 'child', 'narrow', 'unwilling', 'feeling', 'emotional', 'support']"
0.0,i said you are not focused with me and when you are not focused with me i feel unimportant,say focus focused feel unimportant,"['say', 'focus', 'focused', 'feel', 'unimportant']"
0.0,i didn t want to do too much and then leave it feeling awkward at times,want much leave feel awkward time,"['want', 'much', 'leave', 'feel', 'awkward', 'time']"
0.0,i sort of feel like one of those people who was unfortunate and lost their father when they were and life goes on,sort feel like one people unfortunate lose father life go,"['sort', 'feel', 'like', 'one', 'people', 'unfortunate', 'lose', 'father', 'life', 'go']"
0.0,i am feeling gloomy like the weather,feel gloomy like weather,"['feel', 'gloomy', 'like', 'weather']"
0.0,i went with one of those because honestly i was feeling very sentimental about family that morning,go one honestly feel sentimental family morning,"['go', 'one', 'honestly', 'feel', 'sentimental', 'family', 'morning']"
0.0,im feeling pathetic i cant take rejection why wont you call me,im feel pathetic cant take rejection wont call,"['im', 'feel', 'pathetic', 'cant', 'take', 'rejection', 'wont', 'call']"
0.0,i feel a discontent an almost constant pull to travel need for an adventure to find my purpose and loneliness,feel discontent almost constant pull travel need adventure find purpose loneliness,"['feel', 'discontent', 'almost', 'constant', 'pull', 'travel', 'need', 'adventure', 'find', 'purpose', 'loneliness']"
0.0,i feel discouraged when being peter varvel isnt good enough i put on a persona someone who inspires me whether theyre real or imagined,feel discourage peter varvel isnt good enough put persona someone inspire whether theyre real imagine,"['feel', 'discourage', 'peter', 'varvel', 'isnt', 'good', 'enough', 'put', 'persona', 'someone', 'inspire', 'whether', 'theyre', 'real', 'imagine']"
0.0,My daughter lost her last baby tooth today_comma_ she's growing up.,daughter lose last baby tooth today grow,"['daughter', 'lose', 'last', 'baby', 'tooth', 'today', 'grow']"
0.0,i feel it is quite unfortunate to be suggesting an anything but conservative abc type political message as i am someone who holds many values in common with those articulated by the conservative party,feel quite unfortunate suggest anything conservative abc type political message someone hold many value common articulate conservative party,"['feel', 'quite', 'unfortunate', 'suggest', 'anything', 'conservative', 'abc', 'type', 'political', 'message', 'someone', 'hold', 'many', 'value', 'common', 'articulate', 'conservative', 'party']"
0.0,i am feeling really weepy today i am sure i will feel better tomorrow xxx,feel really weepy today sure feel well tomorrow xxx,"['feel', 'really', 'weepy', 'today', 'sure', 'feel', 'well', 'tomorrow', 'xxx']"
0.0,i was truly just standing there staring out the window feeling so incredibly melancholy that i was on the verge of tears,truly stand star window feeling incredibly melancholy verge tear,"['truly', 'stand', 'star', 'window', 'feeling', 'incredibly', 'melancholy', 'verge', 'tear']"
0.0,i know there are times where some nightmarish things may really happen to us but when dreaming bad visions just popped into our minds and have us feeling terrible,know time nightmarish thing may really happen u dream bad vision pop mind u feel terrible,"['know', 'time', 'nightmarish', 'thing', 'may', 'really', 'happen', 'u', 'dream', 'bad', 'vision', 'pop', 'mind', 'u', 'feel', 'terrible']"
0.0,i sound feeling ballroom cd rel nofollow target blank va prandi sound feeling ballroom cd,sound feeling ballroom cd rel nofollow target blank va prandi sound feeling ballroom cd,"['sound', 'feeling', 'ballroom', 'cd', 'rel', 'nofollow', 'target', 'blank', 'va', 'prandi', 'sound', 'feeling', 'ballroom', 'cd']"
0.0,i start feeling really lousy but figure it was pregnancy stuff,start feel really lousy figure pregnancy stuff,"['start', 'feel', 'really', 'lousy', 'figure', 'pregnancy', 'stuff']"
0.0,i think many of us feel burdened by this pervasive belief that we are in control of things going right or wrong in our lives,think many u feel burdened pervasive belief control thing go right wrong life,"['think', 'many', 'u', 'feel', 'burdened', 'pervasive', 'belief', 'control', 'thing', 'go', 'right', 'wrong', 'life']"
0.0,"I mean, seriously, does it sound like somethings wrong with me?",mean seriously sound like somethings wrong,"['mean', 'seriously', 'sound', 'like', 'somethings', 'wrong']"
0.0,i just want u to know how u make me feel unimportant ignored jealous and more middle school level adjectives,want u know u make feel unimportant ignore jealous middle school level adjective,"['want', 'u', 'know', 'u', 'make', 'feel', 'unimportant', 'ignore', 'jealous', 'middle', 'school', 'level', 'adjective']"
0.0,i feel so worthless and ugly a href http afaerytaleinmakebelieve,feel worthless ugly href http afaerytaleinmakebelieve,"['feel', 'worthless', 'ugly', 'href', 'http', 'afaerytaleinmakebelieve']"
0.0,i know are feeling alone,know feel alone,"['know', 'feel', 'alone']"
0.0,im really like she said only you can understand the way i feel toni ight she blamed excesses on the merican dream so seldom witnessed never er seen hah hah hah hah hah,im really like say understand way feel toni ight blame excess merican dream seldom witness never er see hah hah hah hah hah,"['im', 'really', 'like', 'say', 'understand', 'way', 'feel', 'toni', 'ight', 'blame', 'excess', 'merican', 'dream', 'seldom', 'witness', 'never', 'er', 'see', 'hah', 'hah', 'hah', 'hah', 'hah']"
0.0,My mom has arthritis in her neck_comma_ and the pain seems to be traveling down now.,mom arthritis neck pain seem travel,"['mom', 'arthritis', 'neck', 'pain', 'seem', 'travel']"
0.0,I really miss my kids being babies. They were so sweet then,really miss kid baby sweet,"['really', 'miss', 'kid', 'baby', 'sweet']"
0.0,i run into feel useless i understand that but not because of my retirement it is because my daily struggle overwhelms me often,run feel useless understand retirement daily struggle overwhelms often,"['run', 'feel', 'useless', 'understand', 'retirement', 'daily', 'struggle', 'overwhelms', 'often']"
0.0,i cant help but feel a little humiliated,cant help feel little humiliated,"['cant', 'help', 'feel', 'little', 'humiliated']"
0.0,My aunt died,aunt die,"['aunt', 'die']"
0.0,My mother passed away today. It was awful.,mother pass away today awful,"['mother', 'pass', 'away', 'today', 'awful']"
0.0,i am feeling really quite disheartened,feel really quite disheartened,"['feel', 'really', 'quite', 'disheartened']"
0.0,i got home feeling exhausted and discouraged,get home feeling exhaust discourage,"['get', 'home', 'feeling', 'exhaust', 'discourage']"
0.0,i have been starting to feel drained,start feel drain,"['start', 'feel', 'drain']"
0.0,i feel idiotic sifting through personals sites only nerve,feel idiotic sifting personal sit nerve,"['feel', 'idiotic', 'sifting', 'personal', 'sit', 'nerve']"
0.0,My 2 youngest children will both be in high school this year. I can't believe they have grown up so fast. Time has flown by and I just want it to slow down.,young child high school year believe grow fast time fly want slow,"['young', 'child', 'high', 'school', 'year', 'believe', 'grow', 'fast', 'time', 'fly', 'want', 'slow']"
0.0,i feel devastated for a young man,feel devastate young man,"['feel', 'devastate', 'young', 'man']"
0.0,i feel and oh how my heart broke,feel oh heart break,"['feel', 'oh', 'heart', 'break']"
0.0,i felt that aching feeling anymore and i had to think about it but no i dont have that aching feeling unless i am missing my family,felt ache feel anymore think dont ache feeling unless miss family,"['felt', 'ache', 'feel', 'anymore', 'think', 'dont', 'ache', 'feeling', 'unless', 'miss', 'family']"
0.0,Last week I had to put my dog to sleep.  It was so sad.  I had her for 15 years,last week put dog sleep sad year,"['last', 'week', 'put', 'dog', 'sleep', 'sad', 'year']"
0.0,i feel like ive had to fake my feelings a lot more often then i would have liked to,feel like ive fake feeling lot often would like,"['feel', 'like', 'ive', 'fake', 'feeling', 'lot', 'often', 'would', 'like']"
0.0,i would be feeling miserable today,would feel miserable today,"['would', 'feel', 'miserable', 'today']"
0.0,i can see a lot of strain on people i can tell they are feeling pretty shitty or not what they are supposed to be pretending,see lot strain people tell feel pretty shitty suppose pretending,"['see', 'lot', 'strain', 'people', 'tell', 'feel', 'pretty', 'shitty', 'suppose', 'pretending']"
0.0,"No, wait! Emily! No, wait, stop! Emily, please",wait emily wait stop emily please,"['wait', 'emily', 'wait', 'stop', 'emily', 'please']"
0.0,i don t want to mention the afternoon because i am a highly conscientious person who would hate like to make you feel that unsuccessful,want mention afternoon highly conscientious person would hate like make feel unsuccessful,"['want', 'mention', 'afternoon', 'highly', 'conscientious', 'person', 'would', 'hate', 'like', 'make', 'feel', 'unsuccessful']"
0.0,i feel like a miserable piece of garbage,feel like miserable piece garbage,"['feel', 'like', 'miserable', 'piece', 'garbage']"
0.0,im feeling pretty numb and focused on thinking about what needs to be done,im feel pretty numb focus think need do,"['im', 'feel', 'pretty', 'numb', 'focus', 'think', 'need', 'do']"
0.0,i was challenged by the clip where richard gere gives julia roberts money to buy some pretty clothes she walks into an expensive boutique in her work clothes and the condescending staff refuse to serve her and leave her feeling humiliated,challenge clip richard gere give julia roberts money buy pretty clothe walk expensive boutique work clothes condescend staff refuse serve leave feeling humiliate,"['challenge', 'clip', 'richard', 'gere', 'give', 'julia', 'roberts', 'money', 'buy', 'pretty', 'clothe', 'walk', 'expensive', 'boutique', 'work', 'clothes', 'condescend', 'staff', 'refuse', 'serve', 'leave', 'feeling', 'humiliate']"
0.0,i am feeling really needy right now,feel really needy right,"['feel', 'really', 'needy', 'right']"
